2026-04-26 13:28:55,001 | INFO | TConnector | ✅ TConnector инициализирован. Готов сосать... то есть, работать с Tinkoff API.
2026-04-26 15:23:13,873 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 263 свечей. Всего: 1010
2026-04-26 15:23:14,203 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 331 свечей. Всего: 1341
2026-04-26 15:23:14,405 | INFO | TConnector | ✅ Загрузка для VTBR завершена. Всего: 1341 свечей
2026-04-26 15:23:16,440 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:23:16,520 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 235 свечей. Всего: 235
2026-04-26 15:23:16,818 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 253 свечей. Всего: 488
2026-04-26 15:23:17,122 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-26 15:23]: 255 свечей. Всего: 743
2026-04-26 15:23:17,441 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 247 свечей. Всего: 990
2026-04-26 15:23:17,732 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 329 свечей. Всего: 1319
2026-04-26 15:23:17,934 | INFO | TConnector | ✅ Загрузка для MDMG завершена. Всего: 1319 свечей
2026-04-26 15:23:20,107 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:23:20,183 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 236 свечей. Всего: 236
2026-04-26 15:23:20,515 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 253 свечей. Всего: 489
2026-04-26 15:23:20,830 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-26 15:23]: 255 свечей. Всего: 744
2026-04-26 15:23:21,162 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 256 свечей. Всего: 1000
2026-04-26 15:23:21,491 | INFO | TConnector | 📥 Кусок [04-26 15:23 - 04-26 15:23]: 250 свечей. Всего: 1250
2026-04-26 15:23:21,692 | INFO | TConnector | ✅ Загрузка для OZON завершена. Всего: 1250 свечей
2026-04-26 15:23:23,753 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:23:23,871 | INFO | TConnector | 📥 Кусок [04-27 15:23 - 04-27 15:23]: 239 свечей. Всего: 239
