min_pullback,hard_stop,cooldown_bars,std_pct_filter,period,0
0.01,0.05,3,0.015,10,0.6681000295641435
0.01,0.05,3,0.015,20,0.6681000295641435
0.01,0.05,3,0.015,30,0.6681000295641435
0.01,0.05,3,0.015,40,0.6681000295641435
0.01,0.05,3,0.015,50,0.6681000295641435
0.01,0.05,3,0.015,60,0.6681000295641435
0.01,0.05,3,0.015,70,0.6681000295641435
0.01,0.05,3,0.015,80,0.6681000295641435
0.01,0.05,3,0.015,90,0.6681000295641435
0.01,0.05,3,0.02,10,1.29687098076337
0.01,0.05,3,0.02,20,1.29687098076337
0.01,0.05,3,0.02,30,1.29687098076337
0.01,0.05,3,0.02,40,1.29687098076337
0.01,0.05,3,0.02,50,1.29687098076337
0.01,0.05,3,0.02,60,1.29687098076337
0.01,0.05,3,0.02,70,1.29687098076337
0.01,0.05,3,0.02,80,1.29687098076337
0.01,0.05,3,0.02,90,1.29687098076337
0.01,0.05,3,0.025,10,1.904067738026334
0.01,0.05,3,0.025,20,1.904067738026334
0.01,0.05,3,0.025,30,1.904067738026334
0.01,0.05,3,0.025,40,1.904067738026334
0.01,0.05,3,0.025,50,1.904067738026334
0.01,0.05,3,0.025,60,1.904067738026334
0.01,0.05,3,0.025,70,1.904067738026334
0.01,0.05,3,0.025,80,1.904067738026334
0.01,0.05,3,0.025,90,1.904067738026334
0.01,0.05,3,0.030000000000000002,10,1.5436530758874878
0.01,0.05,3,0.030000000000000002,20,1.5436530758874878
0.01,0.05,3,0.030000000000000002,30,1.5436530758874878
0.01,0.05,3,0.030000000000000002,40,1.5436530758874878
0.01,0.05,3,0.030000000000000002,50,1.5436530758874878
0.01,0.05,3,0.030000000000000002,60,1.5436530758874878
0.01,0.05,3,0.030000000000000002,70,1.5436530758874878
0.01,0.05,3,0.030000000000000002,80,1.5436530758874878
0.01,0.05,3,0.030000000000000002,90,1.5436530758874878
0.01,0.05,3,0.035,10,1.160691446676735
0.01,0.05,3,0.035,20,1.160691446676735
0.01,0.05,3,0.035,30,1.160691446676735
0.01,0.05,3,0.035,40,1.160691446676735
0.01,0.05,3,0.035,50,1.160691446676735
0.01,0.05,3,0.035,60,1.160691446676735
0.01,0.05,3,0.035,70,1.160691446676735
0.01,0.05,3,0.035,80,1.160691446676735
0.01,0.05,3,0.035,90,1.160691446676735
0.01,0.05,3,0.04000000000000001,10,0.5640145105464748
0.01,0.05,3,0.04000000000000001,20,0.5640145105464748
0.01,0.05,3,0.04000000000000001,30,0.5640145105464748
0.01,0.05,3,0.04000000000000001,40,0.5640145105464748
0.01,0.05,3,0.04000000000000001,50,0.5640145105464748
0.01,0.05,3,0.04000000000000001,60,0.5640145105464748
0.01,0.05,3,0.04000000000000001,70,0.5640145105464748
0.01,0.05,3,0.04000000000000001,80,0.5640145105464748
0.01,0.05,3,0.04000000000000001,90,0.5640145105464748
0.01,0.05,3,0.045000000000000005,10,-0.21373183661924366
0.01,0.05,3,0.045000000000000005,20,-0.21373183661924366
0.01,0.05,3,0.045000000000000005,30,-0.21373183661924366
0.01,0.05,3,0.045000000000000005,40,-0.21373183661924366
0.01,0.05,3,0.045000000000000005,50,-0.21373183661924366
0.01,0.05,3,0.045000000000000005,60,-0.21373183661924366
0.01,0.05,3,0.045000000000000005,70,-0.21373183661924366
0.01,0.05,3,0.045000000000000005,80,-0.21373183661924366
0.01,0.05,3,0.045000000000000005,90,-0.21373183661924366
0.01,0.05,3,0.05,10,-0.5956462386462574
0.01,0.05,3,0.05,20,-0.5956462386462574
0.01,0.05,3,0.05,30,-0.5956462386462574
0.01,0.05,3,0.05,40,-0.5956462386462574
0.01,0.05,3,0.05,50,-0.5956462386462574
0.01,0.05,3,0.05,60,-0.5956462386462574
0.01,0.05,3,0.05,70,-0.5956462386462574
0.01,0.05,3,0.05,80,-0.5956462386462574
0.01,0.05,3,0.05,90,-0.5956462386462574
0.01,0.05,4,0.015,10,0.627648989366507
0.01,0.05,4,0.015,20,0.627648989366507
0.01,0.05,4,0.015,30,0.627648989366507
0.01,0.05,4,0.015,40,0.627648989366507
0.01,0.05,4,0.015,50,0.627648989366507
0.01,0.05,4,0.015,60,0.627648989366507
0.01,0.05,4,0.015,70,0.627648989366507
0.01,0.05,4,0.015,80,0.627648989366507
0.01,0.05,4,0.015,90,0.627648989366507
0.01,0.05,4,0.02,10,1.2215934655939942
0.01,0.05,4,0.02,20,1.2215934655939942
0.01,0.05,4,0.02,30,1.2215934655939942
0.01,0.05,4,0.02,40,1.2215934655939942
0.01,0.05,4,0.02,50,1.2215934655939942
0.01,0.05,4,0.02,60,1.2215934655939942
0.01,0.05,4,0.02,70,1.2215934655939942
0.01,0.05,4,0.02,80,1.2215934655939942
0.01,0.05,4,0.02,90,1.2215934655939942
0.01,0.05,4,0.025,10,1.8238858863715945
0.01,0.05,4,0.025,20,1.8238858863715945
0.01,0.05,4,0.025,30,1.8238858863715945
0.01,0.05,4,0.025,40,1.8238858863715945
0.01,0.05,4,0.025,50,1.8238858863715945
0.01,0.05,4,0.025,60,1.8238858863715945
0.01,0.05,4,0.025,70,1.8238858863715945
0.01,0.05,4,0.025,80,1.8238858863715945
0.01,0.05,4,0.025,90,1.8238858863715945
0.01,0.05,4,0.030000000000000002,10,1.594254242631904
0.01,0.05,4,0.030000000000000002,20,1.594254242631904
